category,name,kind,mlir_name,generated,emitted,lowered,test
attribute,Attribute,ASR_DIALECT_OP_ATTRIBUTE_ATTRIBUTE,asr.attribute,yes,yes,unsupported,no
case_stmt,CaseStmt,ASR_DIALECT_OP_CASE_STMT_CASESTMT,asr.case_stmt,yes,yes,unsupported,no
case_stmt,CaseStmt_Range,ASR_DIALECT_OP_CASE_STMT_CASESTMT_RANGE,asr.case_stmt__range,yes,yes,unsupported,no
expr,ArrayBound,ASR_DIALECT_OP_EXPR_ARRAYBOUND,asr.array_bound,yes,yes,implemented,focus
expr,ArrayBroadcast,ASR_DIALECT_OP_EXPR_ARRAYBROADCAST,asr.array_broadcast,yes,yes,unsupported,no
expr,ArrayConstant,ASR_DIALECT_OP_EXPR_ARRAYCONSTANT,asr.array_constant,yes,yes,implemented,focus
expr,ArrayConstructor,ASR_DIALECT_OP_EXPR_ARRAYCONSTRUCTOR,asr.array_constructor,yes,yes,implemented,focus
expr,ArrayIsContiguous,ASR_DIALECT_OP_EXPR_ARRAYISCONTIGUOUS,asr.array_is_contiguous,yes,yes,unsupported,no
expr,ArrayItem,ASR_DIALECT_OP_EXPR_ARRAYITEM,asr.array_item,yes,yes,implemented,focus
expr,ArrayPack,ASR_DIALECT_OP_EXPR_ARRAYPACK,asr.array_pack,yes,yes,unsupported,no
expr,ArrayPhysicalCast,ASR_DIALECT_OP_EXPR_ARRAYPHYSICALCAST,asr.array_physical_cast,yes,yes,implemented,focus
expr,ArrayRank,ASR_DIALECT_OP_EXPR_ARRAYRANK,asr.array_rank,yes,yes,unsupported,no
expr,ArrayReshape,ASR_DIALECT_OP_EXPR_ARRAYRESHAPE,asr.array_reshape,yes,yes,implemented,focus
expr,ArraySection,ASR_DIALECT_OP_EXPR_ARRAYSECTION,asr.array_section,yes,yes,implemented,focus
expr,ArraySize,ASR_DIALECT_OP_EXPR_ARRAYSIZE,asr.array_size,yes,yes,implemented,focus
expr,ArrayTranspose,ASR_DIALECT_OP_EXPR_ARRAYTRANSPOSE,asr.array_transpose,yes,yes,implemented,focus
expr,BitCast,ASR_DIALECT_OP_EXPR_BITCAST,asr.bit_cast,yes,yes,unsupported,no
expr,CLoc,ASR_DIALECT_OP_EXPR_CLOC,asr.c_loc,yes,yes,unsupported,no
expr,CPtrCompare,ASR_DIALECT_OP_EXPR_CPTRCOMPARE,asr.c_ptr_compare,yes,yes,unsupported,no
expr,Cast,ASR_DIALECT_OP_EXPR_CAST,asr.cast,yes,yes,implemented,focus
expr,CoarrayRef,ASR_DIALECT_OP_EXPR_COARRAYREF,asr.coarray_ref,yes,yes,unsupported,no
expr,CompilerOptions,ASR_DIALECT_OP_EXPR_COMPILEROPTIONS,asr.compiler_options,yes,yes,unsupported,no
expr,ComplexBinOp,ASR_DIALECT_OP_EXPR_COMPLEXBINOP,asr.complex_bin_op,yes,yes,unsupported,no
expr,ComplexCompare,ASR_DIALECT_OP_EXPR_COMPLEXCOMPARE,asr.complex_compare,yes,yes,unsupported,no
expr,ComplexConstant,ASR_DIALECT_OP_EXPR_COMPLEXCONSTANT,asr.complex_constant,yes,yes,unsupported,no
expr,ComplexConstructor,ASR_DIALECT_OP_EXPR_COMPLEXCONSTRUCTOR,asr.complex_constructor,yes,yes,unsupported,no
expr,ComplexIm,ASR_DIALECT_OP_EXPR_COMPLEXIM,asr.complex_im,yes,yes,unsupported,no
expr,ComplexRe,ASR_DIALECT_OP_EXPR_COMPLEXRE,asr.complex_re,yes,yes,unsupported,no
expr,ComplexUnaryMinus,ASR_DIALECT_OP_EXPR_COMPLEXUNARYMINUS,asr.complex_unary_minus,yes,yes,unsupported,no
expr,DictConstant,ASR_DIALECT_OP_EXPR_DICTCONSTANT,asr.dict_constant,yes,yes,unsupported,no
expr,DictContains,ASR_DIALECT_OP_EXPR_DICTCONTAINS,asr.dict_contains,yes,yes,unsupported,no
expr,DictItem,ASR_DIALECT_OP_EXPR_DICTITEM,asr.dict_item,yes,yes,unsupported,no
expr,DictLen,ASR_DIALECT_OP_EXPR_DICTLEN,asr.dict_len,yes,yes,unsupported,no
